"No.","Time","Source","Destination","Protocol","Length","Info"
"11325","31.918725","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","818","Protected Payload (KP0)"
"11326","31.918989","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:802::2008","QUIC","95","Protected Payload (KP0), DCID=e8decef4e2342d03"
"11327","31.926125","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:81f::200e","QUIC","94","Protected Payload (KP0), DCID=f14837248fcada32"
"11328","31.936880","35.244.233.98","192.168.29.161","QUIC","70","Protected Payload (KP0)"
"11329","31.951812","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","87","Protected Payload (KP0)"
"11330","31.963232","35.244.233.98","192.168.29.161","QUIC","70","Protected Payload (KP0)"
"11331","31.963532","192.168.29.161","35.244.233.98","QUIC","73","Protected Payload (KP0), DCID=f7344292e15c1234"
"11332","31.964823","2404:6800:4002:81f::200e","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","292","Protected Payload (KP0)"
"11333","31.964823","2404:6800:4002:81f::200e","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","83","Protected Payload (KP0)"
"11334","31.965278","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:81f::200e","QUIC","97","Protected Payload (KP0), DCID=f14837248fcada32"
"11335","31.973552","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1285","Protected Payload (KP0)"
"11336","31.973552","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11337","31.973667","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11338","31.973926","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11339","31.973926","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11340","31.973967","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:802::2008","QUIC","94","Protected Payload (KP0), DCID=e8decef4e2342d03"
"11341","31.974000","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11342","31.974170","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:802::2008","QUIC","94","Protected Payload (KP0), DCID=e8decef4e2342d03"
"11343","31.974346","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:802::2008","QUIC","94","Protected Payload (KP0), DCID=e8decef4e2342d03"
